STATE,MAILCODE,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,A,36,U,U,F,0,N,L,E,C,T,2
CA,A,14,E,H,M,3,N,L,G,A,S,1
NC,A,43,U,U,M,3,N,L,E,C,R,2
CA,A,44,E,U,F,3,N,L,E,C,R,2
FL,A,16,E,H,F,3,N,L,F,A,S,2
other,A,40,U,U,F,0,N,L,F,C,T,2
IN,A,40,E,H,F,3,N,L,E,D,T,2
other,A,39,U,U,F,1,N,L,E,C,T,2
other,A,45,U,U,M,3,N,L,F,D,R,2
other,A,35,I,U,M,0,N,L,F,B,T,1
other,A,53,U,U,F,1,N,L,F,D,R,3
IN,A,17,E,U,M,3,N,L,F,B,S,2
other,A,51,U,H,F,3,N,L,D,D,R,3
other,A,40,U,U,M,0,N,L,G,B,T,2
other,A,35,E,H,M,3,N,L,F,D,T,1
CA,A,2,U,H,M,1,N,L,F,A,U,1
MI,A,20,E,U,M,3,N,L,F,A,S,2
IL,A,43,E,U,F,2,N,L,G,C,R,2
FL,B,16,E,H,F,3,N,L,F,B,S,2
NC,A,27,U,U,M,0,N,L,F,C,C,2
other,A,12,E,H,F,3,N,L,D,A,S,1
MI,A,43,E,U,M,3,N,L,G,C,R,2
FL,A,40,U,U,F,0,N,L,G,C,T,2
IL,A,22,U,U,F,0,N,L,E,A,C,1
other,A,35,E,H,F,3,N,L,E,A,T,1
CA,A,35,I,H,M,3,N,L,F,B,T,1
IL,A,13,E,H,F,2,N,L,G,A,S,1
MO,A,35,E,H,M,3,N,L,E,D,T,1
TX,A,35,E,H,F,3,N,L,E,A,T,1
IL,A,40,E,U,F,3,N,L,E,A,T,2
TX,A,35,U,U,M,0,N,L,D,A,T,1
MO,A,8,E,H,M,3,N,L,F,A,U,3
NC,A,25,E,U,F,3,N,L,G,B,C,2
FL,A,15,E,U,F,3,N,L,F,A,S,1
other,A,U,U,U,F,0,N,L,F,B,C,4
other,A,42,U,U,M,0,N,L,F,C,R,1
TX,A,12,E,H,M,3,N,L,G,B,S,1
CA,A,11,U,U,F,3,N,L,G,A,S,1
other,A,17,E,H,F,2,N,L,F,A,S,2
other,A,36,E,H,F,3,N,L,G,D,T,2
IL,A,28,I,U,F,0,N,L,G,B,C,2
MI,A,2,U,U,F,0,N,L,E,B,U,1
WA,A,14,E,H,M,3,N,L,F,A,S,1
FL,A,35,E,H,M,3,N,L,F,A,T,1
WI,A,18,E,H,F,3,N,L,F,B,S,2
other,A,24,E,H,F,3,Y,L,D,C,C,1
other,A,U,U,U,F,2,Y,L,E,C,C,4
IN,A,34,E,H,M,2,Y,L,F,C,T,1
WA,A,5,I,U,M,0,N,L,F,A,U,2
TX,A,31,E,H,M,2,N,L,F,C,C,3
IL,A,44,E,U,F,2,N,L,F,B,R,2
NC,A,32,E,H,F,3,N,L,F,B,C,3
NC,A,27,E,H,F,2,N,L,D,B,C,2
FL,A,18,E,H,F,3,N,L,E,A,S,2
IL,A,36,E,H,M,2,N,L,F,C,T,2
CA,A,46,U,U,F,0,Y,L,G,A,R,2
CA,A,3,U,U,F,2,N,L,E,A,U,1
other,A,50,E,H,F,2,N,L,F,D,R,3
TX,A,18,U,U,M,0,N,L,F,A,S,2
IN,A,44,E,H,F,2,Y,L,F,C,R,2
TX,A,40,E,H,M,3,Y,L,F,A,T,2
GA,A,44,E,H,F,2,N,L,F,B,R,2
other,A,53,U,H,M,2,N,L,F,D,R,3
TX,A,40,E,H,F,3,Y,L,F,A,T,2
GA,A,46,E,H,M,3,N,L,F,D,R,2
NC,A,17,E,H,F,3,N,L,D,B,S,2
FL,A,28,U,U,M,3,N,L,G,B,C,2
IL,A,43,U,U,F,0,N,L,E,A,R,2
CA,A,7,U,U,F,0,N,L,G,A,U,2
IN,A,45,E,U,M,2,N,L,G,D,R,2
CA,A,37,E,H,F,2,N,L,D,C,T,2
other,A,40,E,H,other,3,Y,L,G,D,T,2
other,A,14,U,U,F,2,N,L,F,B,S,1
NC,A,53,U,U,F,0,Y,L,F,D,R,3
CA,A,10,E,H,M,2,N,L,E,A,U,4
MI,A,24,E,H,F,3,N,L,F,A,C,1
other,A,38,U,U,F,0,N,L,G,A,T,2
IL,A,21,E,H,M,2,N,L,E,A,S,3
CA,A,13,E,H,F,2,N,L,F,A,S,1
FL,A,9,E,H,F,3,N,L,F,A,U,3
WI,A,11,I,H,M,1,N,L,G,B,S,1
FL,A,28,U,U,M,1,N,L,F,B,C,2
TX,A,11,E,H,F,3,N,L,E,A,S,1
other,A,46,E,U,M,2,N,L,F,D,R,2
CA,A,7,U,U,F,0,N,L,F,A,U,2
GA,A,43,E,U,F,1,Y,L,F,B,R,2
CA,A,3,U,H,F,3,N,L,F,A,U,1
other,A,28,E,H,M,1,Y,L,F,C,C,2
FL,A,29,E,H,F,3,N,L,G,B,C,2
TX,A,30,E,H,F,3,N,L,G,C,C,3
other,A,25,U,U,M,0,N,L,G,B,C,2
NC,A,45,E,H,F,2,Y,L,F,D,R,2
other,A,31,E,H,M,3,N,L,D,B,C,3
GA,A,18,E,H,M,3,N,L,E,A,S,2
other,B,27,E,H,M,3,N,L,E,C,C,2
other,A,45,U,U,F,0,N,L,E,D,R,2
other,A,36,E,H,F,3,N,L,F,C,T,2
MO,A,40,U,U,M,0,N,L,D,C,T,2
FL,A,29,E,H,F,3,N,L,E,B,C,2
CA,A,13,U,U,M,0,N,L,F,A,S,1
FL,A,4,E,U,F,2,N,L,F,A,U,2
other,A,12,U,U,F,2,N,L,E,B,S,1
CA,A,10,E,H,F,3,N,L,G,A,U,4
other,A,44,E,U,M,2,N,L,E,B,R,2
TX,A,3,E,H,F,3,N,L,G,A,U,1
CA,A,22,U,U,F,0,N,L,G,A,C,1
other,A,41,U,U,F,0,N,L,D,B,T,3
FL,A,18,E,H,M,3,N,L,G,B,S,2
other,A,51,U,U,F,2,N,L,F,D,R,3
CA,A,13,I,H,M,3,N,L,G,A,S,1
TX,A,24,U,U,other,1,N,L,E,C,C,1
TX,A,49,E,H,M,3,N,L,F,D,R,2
NC,A,36,E,H,F,3,N,L,F,D,T,2
CA,A,24,I,H,M,2,N,L,G,A,C,1
other,A,12,E,H,F,3,Y,L,F,B,S,1
other,A,13,E,H,M,3,N,L,G,B,S,1
other,A,43,E,H,M,3,N,L,G,B,R,2
other,A,24,E,H,F,3,N,L,E,B,C,1
TX,A,13,E,H,M,3,N,L,G,A,S,1
other,B,18,E,H,F,3,N,L,E,C,S,2
MO,A,39,E,U,M,3,N,L,E,D,T,2
other,A,43,U,H,M,3,N,L,F,D,R,2
FL,A,23,I,U,F,0,N,L,D,B,C,1
FL,A,33,E,H,M,2,N,L,F,A,C,3
CA,A,24,E,H,M,3,N,L,E,A,C,1
FL,A,49,U,U,F,0,N,L,G,B,R,2
FL,A,40,E,U,F,2,N,L,F,B,T,2
other,A,8,E,H,F,3,N,L,F,A,U,3
other,A,8,E,U,M,1,Y,L,E,B,U,3
other,A,31,E,H,F,2,N,L,G,B,C,3
FL,A,37,E,H,F,2,N,L,F,C,T,2
IL,A,13,E,H,F,3,N,L,E,A,S,1
other,A,14,I,H,F,2,N,L,F,A,S,1
IL,A,13,E,H,F,2,N,L,G,A,S,1
IL,A,30,E,H,F,3,Y,L,G,B,C,3
MI,A,40,U,H,F,3,N,L,F,A,T,2
CA,A,3,I,U,F,2,N,L,F,A,U,1
MI,A,24,U,U,M,3,N,L,F,C,C,1
IL,A,36,E,U,F,3,N,L,G,B,T,2
TX,A,12,E,H,M,3,N,L,G,B,S,1
MI,A,44,E,H,M,3,N,L,F,A,R,2
other,A,40,E,H,F,2,N,L,F,C,T,2
WA,A,40,E,H,M,2,N,L,E,A,T,2
IL,A,7,E,H,F,3,N,L,F,A,U,2
FL,A,30,E,H,F,3,N,L,F,B,C,3
MI,A,17,E,U,F,3,N,L,G,A,S,2
MO,A,36,E,H,F,2,N,L,F,D,T,2
IN,A,49,I,U,M,0,N,L,F,C,R,2
CA,A,14,E,H,M,2,Y,L,G,B,S,1
FL,A,28,E,H,F,3,N,L,D,B,C,2
IN,A,44,U,U,M,0,N,L,E,B,R,2
other,A,45,I,U,F,1,N,L,F,B,R,2
TX,A,10,E,H,F,1,Y,L,E,C,U,4
CA,A,15,U,U,F,0,N,L,G,A,S,1
TX,A,32,E,H,F,3,N,L,G,A,C,3
other,A,36,E,U,M,3,N,L,G,C,T,2
other,A,27,I,H,M,3,N,L,F,C,C,2
FL,B,53,U,U,M,0,N,L,E,C,R,3
other,A,51,U,U,M,3,N,L,F,D,R,3
CA,A,24,E,H,F,3,N,L,F,C,C,1
MI,A,36,U,U,F,0,N,L,G,D,T,2
other,A,12,E,H,M,3,N,L,E,B,S,1
other,A,30,E,U,M,2,N,L,F,C,C,3
other,A,31,E,H,M,3,N,L,E,C,C,3
NC,A,22,U,U,F,0,N,L,E,B,C,1
other,A,31,I,U,M,0,N,L,E,B,C,3
FL,A,22,E,U,F,2,N,L,F,B,C,1
other,A,40,U,U,M,0,N,L,F,B,T,2
GA,A,39,U,U,F,1,N,L,F,B,T,2
CA,A,46,U,U,F,0,N,L,E,B,R,2
GA,A,27,E,H,M,3,N,L,F,B,C,2
MI,A,32,E,U,F,2,N,L,F,B,C,3
FL,A,27,E,U,F,3,N,L,D,B,C,2
other,A,16,E,H,F,2,N,L,G,B,S,2
TX,A,40,E,U,F,2,N,L,F,A,T,2
CA,A,35,E,H,F,3,N,L,G,A,T,1
MI,A,43,E,H,M,3,N,L,F,D,R,2
CA,A,44,U,H,F,3,N,L,F,A,R,2
CA,A,10,E,U,F,2,N,L,F,A,U,4
FL,A,9,I,U,F,0,N,L,F,C,U,3
WA,A,27,E,H,F,3,N,L,F,A,C,2
other,A,41,E,H,F,2,N,L,F,D,T,3
NC,A,40,E,H,F,3,N,L,E,D,T,2
other,A,10,U,U,other,0,N,L,F,A,U,4
other,A,51,U,U,M,0,N,L,F,D,R,3
CA,A,20,E,H,F,3,Y,L,G,A,S,2
FL,A,46,I,U,F,0,N,L,E,B,R,2
other,B,51,U,U,M,0,N,L,G,B,R,3
CA,A,1,E,H,F,3,N,L,F,A,U,1
other,A,18,E,U,M,2,Y,L,G,B,S,2
NC,A,38,E,U,F,2,N,L,D,C,T,2
CA,A,35,E,H,F,3,N,L,F,A,T,1
other,A,49,U,U,F,0,N,L,E,D,R,2
TX,A,16,E,H,F,3,N,L,F,A,S,2
FL,A,46,E,H,F,3,N,L,F,C,R,2
CA,A,40,I,U,M,0,N,L,G,B,T,2
GA,A,15,E,U,M,3,N,L,G,C,S,1
MI,A,10,E,H,F,2,N,L,D,A,U,4
other,A,5,E,H,M,3,N,L,E,B,U,2
WA,A,40,E,H,M,3,Y,L,E,A,T,2
GA,A,40,E,H,M,2,Y,L,E,C,T,2
MI,A,38,E,H,F,3,N,L,E,A,T,2
WA,A,39,E,H,M,2,N,L,F,C,T,2
other,A,23,U,U,F,0,N,L,F,A,C,1
CA,A,12,E,H,F,3,N,L,G,A,S,1
FL,A,37,U,U,M,2,N,L,F,B,T,2
